2026-04-11 03:24:42 | DEBUG    | 签名JS加载成功
2026-04-11 03:24:47 | INFO     | SQLite数据库初始化完成: data\MS4wLjABAAAA2FYVN1jBWaTVasx7wXcsK0rCPfSYixt5-J1pUegQIbA\data.db
2026-04-11 03:24:47 | INFO     | 开始采集用户 MS4wLjABAAAA2FYVN1jB... 的作品
2026-04-11 03:24:49 | DEBUG    | API响应: aweme_list=10, has_more=1, max_cursor=1772527643000
2026-04-11 03:24:50 | INFO     | 用户 MS4wLjABAAAA2FYVN1jB... [作品采集完成] total:10 | new:0 | new_csv:0 | new_db:0 | duration:2.2秒
2026-04-11 03:24:50 | INFO     | 开始采集用户 MS4wLjABAAAA2FYVN1jB... 的评论，共 10 个视频
2026-04-11 03:25:05 | INFO     | 用户 MS4wLjABAAAA2FYVN1jB... [评论采集完成] total:66 | new:0 | new_csv:0 | new_db:0 | videos:10 | duration:15.2秒
2026-04-11 03:25:05 | INFO     | 开始采集用户 MS4wLjABAAAA2FYVN1jB... 的回复，共 2 条评论，2 个视频 (并发数: 3)
2026-04-11 03:25:08 | INFO     | 用户 MS4wLjABAAAA2FYVN1jB... [回复采集完成] total:3 | new:0 | new_csv:0 | new_db:0 | comments:2 | videos:2 | duration:2.5秒
2026-04-11 03:25:08 | INFO     | SQLite连接已关闭: data\MS4wLjABAAAA2FYVN1jBWaTVasx7wXcsK0rCPfSYixt5-J1pUegQIbA\data.db
2026-04-11 03:25:08 | INFO     | SQLite连接已关闭: data\MS4wLjABAAAA2FYVN1jBWaTVasx7wXcsK0rCPfSYixt5-J1pUegQIbA\data.db
2026-04-11 03:25:08 | INFO     | 资源清理完成
